grupo,idx,clase_real,clase_pred,distancia,feature,peso_lime
representativo,11600,0,1,1,Situación económica país,-0.04300837020697725
representativo,11600,0,1,1,Apoyo a la democracia,-0.025719439431012583
representativo,11600,0,1,1,Confianza Gobierno,0.025540479220409994
representativo,11600,0,1,1,Aprobación gobierno,0.01979139141072589
representativo,11600,0,1,1,Distribución ingreso justa,-0.01786008977462159
representativo,11600,0,1,1,Componente igualitario,0.014008457395035423
representativo,11600,0,1,1,Confianza Congreso,0.01321487090121491
representativo,11600,0,1,1,Economía país vs. año anterior,0.012515784728707685
representativo,11600,0,1,1,Distribución igualitaria,0.009841424861953017
representativo,11600,0,1,1,Confianza Partidos Políticos,0.007164798645608183
representativo,9028,0,0,0,Apoyo a la democracia,-0.028265088410224425
representativo,9028,0,0,0,Confianza Gobierno,0.02650481426632753
representativo,9028,0,0,0,Distribución ingreso justa,-0.025053335120950378
representativo,9028,0,0,0,País para todos / poderosos,-0.024402382377457125
representativo,9028,0,0,0,Independencia judicial,-0.020097172549376523
representativo,9028,0,0,0,Economía país vs. año anterior,0.018591197731474787
representativo,9028,0,0,0,Progreso contra corrupción,0.01696627116951726
representativo,9028,0,0,0,Confianza interpersonal,0.016060977134560436
representativo,9028,0,0,0,Confianza Congreso,0.013856707900060796
representativo,9028,0,0,0,Confianza Poder Judicial,0.013767832226700364
representativo,17357,0,0,0,Situación económica país,-0.03347835481397837
representativo,17357,0,0,0,Confianza Gobierno,0.02569768112584086
representativo,17357,0,0,0,Apoyo a la democracia,-0.025277410413243336
representativo,17357,0,0,0,Economía país vs. año anterior,0.01762380705005763
representativo,17357,0,0,0,Distribución ingreso justa,-0.0171545542471344
representativo,17357,0,0,0,Distribución igualitaria,0.01634186341643858
representativo,17357,0,0,0,Aprobación gobierno,0.015969443776444756
representativo,17357,0,0,0,Confianza Congreso,0.01323627829798223
representativo,17357,0,0,0,Confianza Poder Judicial,0.013028046746577659
representativo,17357,0,0,0,Confianza Partidos Políticos,0.01277435213344165
representativo,11506,0,0,0,Situación económica país,-0.029076859980497954
representativo,11506,0,0,0,Apoyo a la democracia,-0.024297599290463885
representativo,11506,0,0,0,País para todos / poderosos,-0.01861921466989709
representativo,11506,0,0,0,Aprobación gobierno,0.01657681980630892
representativo,11506,0,0,0,Expectativa económica país,0.012175555894310443
representativo,11506,0,0,0,Distribución ingreso justa,-0.012067410119426566
representativo,11506,0,0,0,Economía país vs. año anterior,0.01186969395334457
representativo,11506,0,0,0,Distribución igualitaria,0.010437933070567246
representativo,11506,0,0,0,Confianza interpersonal,0.009929487001936525
representativo,11506,0,0,0,Integridad sector público,-0.008005677873390463
representativo,13837,0,2,2,Apoyo a la democracia,0.01606451903645504
representativo,13837,0,2,2,País para todos / poderosos,0.015257312768575606
representativo,13837,0,2,2,Aprobación gobierno,-0.011728426889494147
representativo,13837,0,2,2,Situación económica país,0.011190701233423778
representativo,13837,0,2,2,Expectativa económica país,-0.006373068648995606
representativo,13837,0,2,2,Economía país vs. año anterior,-0.005425436033663303
representativo,13837,0,2,2,Distribución ingreso justa,0.003987561413504477
representativo,13837,0,2,2,Escala Izquierda-Derecha,-0.0024462128571243018
representativo,13837,0,2,2,Interés en política,-0.0022290077559296386
representativo,13837,0,2,2,Práctica religiosa,0.0016736770769400391
representativo,5923,1,2,1,País para todos / poderosos,0.015230861337272706
representativo,5923,1,2,1,Apoyo a la democracia,0.012045717723979275
